Simplified;English Translation;Pinyin;Meaning
着;the;zhe;[aspect]
起来;up;qǐlái;[aspect]
过;over;guò;[aspect] guò
起;up;qǐ;[aspect] qǐ
越;the more;yuè;~A~B) the more A the more B yuè
约;about;yuē;about, around
学者;scholars;xuézhě;academic, literate, pandit, letters, litterateur, learned person, literati, philomath, pundit, academician, faculty member, scholar, bookman, clerk, student, scholarly person, man of letters, man of learning, speleologist, doctor, clerisy, initiate, swami, punditry, savant, learned man, sophist
学生;students;xuéshēng;academic, pupil, pup, tutee, follower, scholar, schoolchild, schoolboy, alumnus, disciple, learner, scholastic, student
如;as;rú;according to, in accordance with, such as, as if, like, for example
依;according to;yī;according to, judging by yī
据;according to;jù;according to, on the grounds of jù
行动;action;xíngdòng;action, operation
活动;activity;huódòng;activity, maneuver, behavior
并;and;bìng;actually, truly bìng
行政;administration;xíngzhèng;administration
通过;by;tōngguò;adopt, pass, carry (motion/legislation)
肯定;affirm;kěndìng;affirm, approve, regard as positive
以后;after;yǐhòu;afterwards, later, future, in the future, hereafter
又;also;yòu;again, moreover
再;again;zài;again, once more, further(more), in a higher degree, and then, not (do sth.) before zài
伊拉克;iraq;yīlākè;Al-Iraq, Iraq, Irak
都;all;dōu;all, even, already
皆;all;jiē;all, everyone jiē
让;let;ràng;allow, induce sb. to do sth. ràng
随着;with;suízhe;along with, in the wake of, in pace with
已;has;yǐ;already
已经;already;yǐjīng;already
亦;also;yì;also, too yì
也;also;yě;also, too, as well, either, even yě
总是;always;zǒngshì;always
总;total;zǒng;always, invariably, anyway, after all, inevitably, sooner or later zǒng
朋友;friends;péngyou;amigo, connections, kith, friend, boy, crony, ami, boy/girl friend, companion, mate, boy friend or girl friend, compadre, boy friend, Mac, paisano, matey, old_boy, sport, folks, pard, hearty, Kamerad, cocker, cobber, girl friend, pardner, company
之间;between;zhījiān;among, between
其中;which;qízhōng;among, of them, in it, among them, which, them, det.: it, in, in which
玩;play;wán;amuse oneself, treat lightly, have fun, resort to, enjoy, appreciate, play, toy, trifle with, employ, disport, shoot, amuse onself wán
分析;analysis;fēnxī;analyze
与;with;yǔ;and, together with, to give
和;and;hé;and, with, gentle, peaceful
什么;what;shéme;anything, what
出现;appear;chūxiàn;appear, arise, emerge
应用;apply;yìngyòng;application, use
申请;application;shēnqǐng;apply for
申请;application;shēnqǐng;apply for
安排;arrangement;ānpái;arrange, plan, fix up, provide (meals/etc.)
到;to;dào;arrive, reach, go to dào
其实;actually;qíshí;as a matter of fact, actually, in fact
经;by;jīng;as a result of, through, after jīng
便;convenient;biàn;as early as, soon afterwards, little as, as early, and then, and so, so, as early/little as, as little as, then, in that case
至于;as for;zhìyū;as for/to
一;one;yī;as soon as yī
问;ask;wèn;ask, examine, question, interrogate wèn
协助;assistance;xiézhù;assist, help
当;when;dāng;assume office of, take charge of dāng
根本;at all;gēnběn;at all, utterly
即;that is;jí;at present, in the immediate future, then, promptly, at once
重视;value;zhòngshì;attach importance to, take sth. seriously, value
任何;any;rènhé;aught, det.: any
