Simplified,English Translation,Pinyin
民,people,mín
时间,time,Shíjiān
一年,year,yī nián
事,thing,shì
道路,way,dàolù
一天,day,yītiān
男人,man,nánrén
状态,state,zhuàngtài
地段,lot,dìduàn
女人,woman,nǚrén
国内,country,guónèi
生活,life,shēnghuó
问题,question,wèntí
总统,president,zǒngtǒng
孩子,child,háizi
一周,week,yīzhōu
世界,world,shìjiè
那种,kind,nà zhǒng
案件,case,ànjiàn
问题,problem,wèntí
事实,fact,shìshí
家庭,family,jiātíng
这个故事,story,zhège gùshì
点,point,diǎn
政府,government,zhèngfǔ
钱,money,qián
问题,issue,wèntí
部分,part,bùfèn
清晨,morning,qīngchén
那家伙,guy,nà jiāhuo
数量,number,shùliàng
就业,job,jiùyè
夜晚,night,yèwǎn
正确的,right,zhèngquè de
学校,school,xuéxiào
的地方,place,dì dìfāng
战争,war,zhànzhēng
孩子,kid,háizi
一个月,month,yīgè yuè
本书,book,běn shū
小时,hour,xiǎoshí
演出,show,yǎnchū
警方,police,jǐngfāng
该程序,program,gāi chéngxù
党,party,dǎng
法律,law,fǎlǜ
字,word,zì
此人,person,cǐ rén
主场,home,zhǔchǎng
业务,business,yèwù
朋友,friend,péngyǒu
公司,company,gōngsī
侧面,side,cèmiàn
税,tax,shuì
民主党,democrat,mínzhǔdǎng
该集团,group,gāi jítuán
瞬间,moment,shùnjiān
破,break,pò
这个想法,idea,zhège xiǎngfǎ
成员,member,chéngyuán
系统,system,xìtǒng
一分钟,minute,yī fēnzhōng
原因,reason,yuányīn
竞选,campaign,jìngxuǎn
工作,work,gōngzuò
全国,nation,quánguó
大会,congress,dàhuì
母亲,mother,mǔqīn
力,force,lì
健康,health,jiànkāng
背部,back,bèibù
区域,area,qūyù
名字,name,míngzì
报告,report,bàogào
手,hand,shǒu
行,line,xíng
结束,end,jiéshù
法院,court,fǎyuàn
护理,care,hùlǐ
夫妻,couple,fūqī
房子,house,fángzi
美国,american,měiguó
父亲,father,fùqīn
情况,situation,qíngkuàng
汽车,car,qìchē
父,parent,fù
管理,administration,guǎnlǐ
药物,drug,yàowù
城市,city,chéngshì
感,sense,gǎn
政策,policy,zhèngcè
办公室,office,bàngōngshì
决定,decision,juédìng
动力,power,dònglì
计划,plan,jìhuà
领导者,leader,lǐngdǎo zhě
信息,information,xìnxī
选,election,xuǎn
电影,movie,diànyǐng
死亡,death,sǐwáng
空气,air,kōngqì
通话,call,tōnghuà
社区,community,shèqū
外观,look,wàiguān
证据,evidence,zhèngjù
女孩,girl,nǚhái
医生,doctor,yīshēng
投票,vote,tóupiào
视频,video,shìpín
图片,picture,túpiàn
房间,room,fángjiān
该位,bit,gāi wèi
经济,economy,jīngjì
手机,phone,shǒujī
历史,history,lìshǐ
排序,sort,páixù
男孩,boy,nánhái
犯罪,crime,fànzuì
流程,process,liúchéng
妻子,wife,qīzi
音乐,music,yīnyuè
水,water,shuǐ
服务,service,fúwù
记录,record,jìlù
安全,security,ānquán
会谈,talk,huìtán
心灵,mind,xīnlíng
头部,head,tóu bù
候选,candidate,hòuxuǎn
官方,official,guānfāng
摄像头,camera,shèxiàngtóu
学生,student,xuéshēng
攻击,attack,gōngjí
机会,chance,jīhuì
游戏,game,yóuxì
宝宝,baby,bǎobǎo
南方,south,nánfāng
变化,change,biànhuà
试用,trial,shìyòng
身体,body,shēntǐ
市场,market,shìchǎng
东东,stuff,dōng dōng
兴趣,interest,xìngqù
武器,weapon,wǔqì
的心脏,heart,de xīnzàng
儿子,son,érzi
球队,team,qiú duì
小镇,town,xiǎo zhèn
电视,television,diànshì
意志,will,yìzhì
队伍,troop,duìwǔ
法官,judge,fǎguān
行动,action,xíngdòng
答案,answer,dá'àn
位置,position,wèizhì
视图,view,shìtú
区别,difference,qūbié
食品,food,shípǐn
女儿,daughter,nǚ'ér
比赛,race,bǐsài
成交,deal,chéngjiāo
街头,street,jiētóu
价格,price,jiàgé
消息,message,xiāoxī
控制,control,kòngzhì
辩论,debate,biànlùn
军官,officer,jūnguān
电影,film,diànyǐng
水平,level,shuǐpíng
努力,effort,nǔlì
关系,relationship,guānxì
记者,correspondent,jìzhě
地面,ground,dìmiàn
片,piece,piàn
丈夫,husband,zhàngfū
预算,budget,yùsuàn
陪审团,jury,péishěn tuán
记者,reporter,jìzhě
周末,weekend,zhōumò
此事,matter,cǐ shì
年龄,age,niánlíng
枪,gun,qiāng
和平,peace,hépíng
